Product_name,Product_catagory,price,redprice,yellowPrice,blue_price,selling_attribute,Brand_Name,color_available,product_link
Regular Fit Cargo Pants,men_trousers_cargo,39.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Joggers,men_trousers_joggers,29.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Linen-blend Pants,men_trousers_linentrousers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cotton Chinos,men_trousers_chinos,34.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Water-repellent Track Pants,men_sport_bottoms_trousers,64.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,49.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Straight Fit Linen Pants,men_trousers_linentrousers,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Cotton Sweatpants,men_trousers_joggers,49.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Linen-blend Pants,men_trousers_linentrousers,39.99,,,,New Arrival,H&M,4,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Skinny Fit Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Merino Wool Joggers,men_trousers_joggers,74.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
DryMove™ Sports Joggers,sportswear_men_clothing_trousersjoggers,39.99,,,,,H&M,6,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Twill Pants,men_trousers,34.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Velour Pants,men_trousers,49.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
THERMOLITE® Loose Fit Joggers,men_trousers_joggers,39.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Linen-blend Pants,men_trousers_linentrousers,34.99,,,,New Arrival,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Cargo Pants,men_trousers_cargo,49.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Running Pants,sportswear_men_clothing_trousersjoggers,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Hybrid Skinny Regular Joggers,men_trousers_joggers,39.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Sweatpants,men_trousers_joggers,29.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Cargo Joggers,men_trousers_cargo,34.99,,,,,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Nylon Cargo Joggers,men_trousers_cargo,34.99,,,,,H&M,3,https://www2.hm.com//en_us/productpage.1002227011.html
Regular Fit Cotton Sweatpants,men_trousers_joggers,29.99,,,,New Arrival,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Cotton Joggers,men_trousers_joggers,34.99,,,,,H&M,5,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit 5-pocket Twill Pants,men_trousers,34.99,,,,New Arrival,H&M,7,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Printed Sweatpants,men_trousers_joggers,24.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Cargo Joggers,men_trousers_cargo,39.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Track Pants,men_trousers_joggers,29.99,,,,New Arrival,H&M,1,https://www2.hm.com//en_us/productpage.1002227011.html
Slim Fit Velvet Suit Pants,men_trousers_dressed,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Relaxed Fit Printed Sweatpants,men_trousers_joggers,24.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
Loose Fit Lyocell Joggers,men_trousers_joggers,49.99,,,,,H&M,2,https://www2.hm.com//en_us/productpage.1002227011.html
